ruc,razon_social,nombre_limpio,fob_usd,peso_kg,operaciones,partidas,semanas_activo,paises,toneladas,fob_anualizado,rubro,uso_dual
20557530160,BLUEBERRIES PERU S.A.C.,BLUEBERRIES PERU,18414.41,414.0,1,1,1,1,0.414,95754.932,Agroquimicos,False
20557098403,INNOVACION GANADERA S.A.C.,INNOVACION GANADERA,18350.0,900.0,1,1,1,1,0.9,95420.0,Agroquimicos,False
20543725821,DISTRIBUIDORA CUMMINS PERU S.A.C,DISTRIBUIDORA CUMMINS PERU,18155.052,655.649,5,1,4,1,0.655649,94406.27040000001,Otro,False
20603115351,BIOSCIENCE AGRO PERU S.A.C.,BIOSCIENCE AGRO PERU,18100.0,8000.0,2,1,1,1,8.0,94120.0,Fertilizantes,False
20384423508,ACCEAUTO S.A. C.,ACCEAUTO S.A. C,17213.789,5388.153,18,1,6,1,5.388153,89511.70280000001,Agroquimicos,False
20612901997,GENESIS SEEDS E.I.R.L.,GENESIS SEEDS,17039.999,4.18,5,1,2,2,0.00418,88607.9948,Semillas,False
20602243711,YOUYI GROUP PERU S.A.C.,YOUYI GROUP PERU,16872.98,26200.0,1,1,1,1,26.2,87739.496,Agroquimicos,False
20601581494,PERAGRO SEEDS E.I.R.L.,PERAGRO SEEDS,16662.3,234.454,7,2,4,5,0.234454,86643.96,Semillas,False
20600679717,KP INGENIERIA LOGISTICA PERU S.A.C.,KP INGENIERIA LOGISTICA PERU,16478.0,10820.0,4,1,1,1,10.82,85685.59999999999,Agroquimicos,False
20327514581,PLATINUM CORP S.R.L.,PLATINUM CORP,16366.62,298.26300000000003,15,2,4,1,0.29826300000000006,85106.424,Otro,False
