ruc,razon_social,nombre_limpio,fob_usd,peso_kg,operaciones,partidas,semanas_activo,paises,toneladas,fob_anualizado
20100085063,AJINOMOTO DEL PERU S A,AJINOMOTO DEL PERU S A,7989905.477,2988726.531,586,2,10,7,2988.726531,41547508.480399996
20600598385,AGRO DIRECT S.A.C.,AGRO DIRECT,7880421.89,1994890.0,126,1,2,3,1994.89,40978193.828
20562740814,GLOBAL AGRO PERU S.A.C.,GLOBAL AGRO PERU,7768729.41,3087110.85,296,1,6,1,3087.11085,40397392.932
20525416543,COOPERATIVA AGRARIA NORANDINO LTDA.-COOP,COOPERATIVA AGRARIA NORANDINO LTDA.-COOP,7688042.34,1066936.0,86,3,9,8,1066.936,39977820.168
20555837659,AGRICOLA SANTA AZUL S.R.L,AGRICOLA SANTA AZUL,7655805.71,847818.62,86,1,10,3,847.81862,39810189.692
20465976561,ALISUR S.A.C.,ALISUR,7621324.8,2590742.588,206,2,10,19,2590.742588,39630888.96
20508634090,H.V.C.EXPORTACIONES SAC,H.V.C.EXPORTACIONES,7525485.68,1160999.998,40,1,8,4,1160.999998,39132525.536
20536558072,SOBIFRUITS S.A.C.,SOBIFRUITS,7420284.1,2391651.8,179,3,10,22,2391.6517999999996,38585477.31999999
20614746379,AGRO BLUE PERU S.A.C.,AGRO BLUE PERU,7298971.456,864505.8,61,1,8,5,864.5058,37954651.571200006
20606949511,AMA'Z COFFEE TRADING S.A.C.,AMA'Z COFFEE TRADING,7246337.7700000005,1570350.0,65,1,10,7,1570.35,37680956.404
20601438586,SOCIEDAD EXPORTADORA VERFRUT SOCIEDAD AN,SOCIEDAD EXPORTADORA VERFRUT SOCIEDAD AN,7135539.97,1020138.12,167,2,5,5,1020.13812,37104807.844
20605493603,INKA SELECT FRUIT S.A.C.,INKA SELECT FRUIT,7056205.53,3429811.8,149,2,10,12,3429.8118,36692268.756000005
20608170732,AGRICOLA BLUE GOLD S.A.C.,AGRICOLA BLUE GOLD,7048906.798,886281.0,87,1,10,6,886.281,36654315.3496
20610773274,BERRY HARVEST S.A.,BERRY HARVEST,6979769.673,2413648.84,160,2,10,8,2413.64884,36294802.2996
20526005610,EL ALAMO EXPORT S.A.C.,EL ALAMO EXPORT,6891779.942,375025.97,132,1,10,3,375.02597,35837255.6984
20603062397,FRUGLOBE S.A.C.,FRUGLOBE,6872149.257,3348098.6,193,1,10,11,3348.0986000000003,35735176.1364
20568333820,COOPERATIVA AGRARIA CAFETALERA JUAN SANT,COOPERATIVA AGRARIA CAFETALERA JUAN SANT,6802294.15,1137595.0,20,1,8,5,1137.595,35371929.58
20609493071,AVALEZA S.A.,AVALEZA,6704058.779999999,3762144.0,175,1,10,6,3762.144,34861105.655999996
20279143222,FLORIDABLANCA S.A.C.,FLORIDABLANCA,6617382.14,1021196.7,359,2,10,15,1021.1967,34410387.128
20510865627,SANTA SOFIA DEL SUR S.A.C.,SANTA SOFIA DEL SUR,6496559.96,3310885.6,195,4,9,4,3310.8856,33782111.792
20611839589,,,6317105.82,1404410.16,11,1,6,4,1404.41016,32848950.264000002
20513081236,FUXION BIOTECH S.A.C.,FUXION BIOTECH,6312430.85,146761.30299999999,556,3,10,10,146.761303,32824640.419999998
