dep,nombre,tipo,clase,lat,lon,sectores_1h,hub,horas_reparto,reparto_en_promesa,elegido,clientes_30,sam_30,clientes_45,sam_45,clientes_60,sam_60
AREQUIPA,Luces,hardware,comercio,-16.439924,-71.529687,35,Juliaca,4.437874042686684,False,False,276.139890101036,1431511.0521533098,366.3514491109668,1899168.3823110291,566.1664753076254,2907778.7176669464
AREQUIPA,Alvares,hardware,comercio,-16.435524,-71.531303,36,Juliaca,4.437874042686684,False,False,276.139890101036,1431511.0521533098,416.7535297034805,2160453.107937979,582.3561932207681,2991706.324487636
AREQUIPA,Moselu,hardware,comercio,-16.440271,-71.529608,35,Juliaca,4.437874042686684,False,False,276.139890101036,1431511.0521533098,366.3514491109668,1899168.3823110291,566.1664753076254,2907778.7176669464
AREQUIPA,Victoria,hardware,comercio,-16.434637,-71.530766,36,Juliaca,4.437874042686684,False,False,276.139890101036,1431511.0521533098,448.7747183921167,2326451.166002308,582.3561932207681,2991706.324487636
AREQUIPA,Diffor,hardware,comercio,-16.435181,-71.531037,36,Juliaca,4.437874042686684,False,False,276.139890101036,1431511.0521533098,416.7535297034805,2160453.107937979,582.3561932207681,2991706.324487636
AREQUIPA,San Lorenzo,doityourself,comercio,-16.400644,-71.519542,33,Juliaca,4.437874042686684,False,False,262.84633235331523,1362597.1591574892,386.7642470176977,2004988.4642925407,521.1139273688896,2701458.113084054
AREQUIPA,Emmel,hardware,comercio,-16.403581,-71.515583,33,Juliaca,4.437874042686684,False,False,262.84633235331523,1362597.1591574892,386.7642470176977,2004988.4642925407,521.1139273688896,2701458.113084054
AREQUIPA,Flores Alvares,hardware,comercio,-16.434939,-71.531156,36,Juliaca,4.437874042686684,False,False,276.139890101036,1431511.0521533098,448.7747183921167,2326451.166002308,582.3561932207681,2991706.324487636
AREQUIPA,Buscal,hardware,comercio,-16.404532,-71.514373,33,Juliaca,4.437874042686684,False,False,262.84633235331523,1362597.1591574892,386.7642470176977,2004988.4642925407,521.1139273688896,2701458.113084054
AREQUIPA,Femaco,hardware,comercio,-16.403796,-71.515289,33,Juliaca,4.437874042686684,False,False,262.84633235331523,1362597.1591574892,386.7642470176977,2004988.4642925407,521.1139273688896,2701458.113084054
AREQUIPA,Spa Pequeños,veterinary,comercio,-16.454037,-71.530344,35,Juliaca,4.437874042686684,False,False,240.71804502203008,1247883.9684324237,366.3514491109668,1899168.3823110291,566.1664753076254,2907778.7176669464
AREQUIPA,Pimentel,hardware,comercio,-16.44906,-71.533169,35,Juliaca,4.437874042686684,False,False,240.71804502203008,1247883.9684324237,366.3514491109668,1899168.3823110291,566.1664753076254,2907778.7176669464
AREQUIPA,Ferresur,hardware,comercio,-16.434585,-71.531282,36,Juliaca,4.437874042686684,False,False,276.139890101036,1431511.0521533098,448.7747183921167,2326451.166002308,582.3561932207681,2991706.324487636
AREQUIPA,Virgen del Carmen,hardware,comercio,-16.434404,-71.531336,36,Juliaca,4.437874042686684,False,False,276.139890101036,1431511.0521533098,448.7747183921167,2326451.166002308,582.3561932207681,2991706.324487636
AREQUIPA,Femaco,hardware,comercio,-16.43713,-71.529676,36,Juliaca,4.437874042686684,False,False,276.139890101036,1431511.0521533098,416.7535297034805,2160453.107937979,582.3561932207681,2991706.324487636
AREQUIPA,Victoria,hardware,comercio,-16.434691,-71.530665,36,Juliaca,4.437874042686684,False,False,276.139890101036,1431511.0521533098,448.7747183921167,2326451.166002308,582.3561932207681,2991706.324487636
AREQUIPA,HuellitasPet,veterinary,comercio,-16.4412,-71.529388,35,Juliaca,4.437874042686684,False,False,276.139890101036,1431511.0521533098,366.3514491109668,1899168.3823110291,566.1664753076254,2907778.7176669464
AREQUIPA,Laboratorio Diesel,hardware,comercio,-16.446554,-71.530659,35,Juliaca,4.437874042686684,False,False,240.71804502203008,1247883.9684324237,366.3514491109668,1899168.3823110291,566.1664753076254,2907778.7176669464
AREQUIPA,DifeSur,hardware,comercio,-16.442892,-71.528787,35,Juliaca,4.437874042686684,False,False,240.71804502203008,1247883.9684324237,366.3514491109668,1899168.3823110291,566.1664753076254,2907778.7176669464
AREQUIPA,AQPET SHOP,veterinary,comercio,-16.408042,-71.509274,31,Juliaca,4.437874042686684,False,False,227.42448727430934,1178970.0754366028,375.0914101034573,1944476.3990251706,487.89786660845505,2529265.830143113
