hub,ruta,orden,punto,dep,lat,lon,margen_anual,horas_ruta
Sicuani,5,4,AGROSERVICIOS SAMBOR  S.A.C,CUSCO,-13.47359,-72.1595,2873.25,8.91
Sicuani,6,1,Rosa Ventura,CUSCO,-13.31154,-72.0165,186.28,8.48
Sicuani,6,2,Virgen de Lourdes Materiales de Construcción,CUSCO,-13.31249,-72.11059,424.26,8.48
Sicuani,6,3,Multiservicios Alex,CUSCO,-13.32279,-72.08221,114.83,8.48
Sicuani,6,4,Agro Tocre,CUSCO,-13.33665,-72.06363,62.87,8.48
Sicuani,7,1,Santa Rosita de Lima,CUSCO,-13.39399,-72.05101,1222.87,8.43
Sicuani,7,2,Miriam,CUSCO,-13.33586,-72.15635,1055.35,8.43
Sicuani,7,3,Vivero Sr. De Torrechayoc,CUSCO,-13.29949,-72.11745,348.88,8.43
Sicuani,8,1,AGROSERVICIOS PARACCAY E.I.R.L.,CUSCO,-13.34054,-72.0468,156.92,7.85
Sicuani,8,2,Gonzales,CUSCO,-13.27583,-72.18655,1634.41,7.85
Sicuani,9,1,Agrovetarina Altiplano,CUSCO,-13.3172,-71.59655,2136.92,7.06
Sicuani,10,1,Vivero de Pucyura,CUSCO,-13.47544,-72.11306,515.57,7.28
Sicuani,11,1,MUNDO AGROVETERINARIA EMMA E.I.R.L,CUSCO,-14.33006,-71.86005,223.56,8.47
