nombre,dep,clase,hub,horas_reparto,reparto_en_promesa,clientes_exclusivos,sam_exclusivo,margen_base,lat,lon
AGROSERVICIOS VALERY S.A.C.,ICA,canal,Pisco,1.2800623915581704,True,71.0479322324129,522653.27784362365,1646.3578252074142,-14.140398188499972,-75.83562266299995
Gonzales,CUSCO,comercio,Sicuani,3.259237768493378,True,245.1492031126633,518861.2650923021,1634.4129850407514,-13.275832,-72.186555
Depósito de Materiales DINO,PIURA,comercio,Chiclayo,3.3979000019751457,True,131.98528247218772,516022.0404235566,1625.469427334203,-5.402815,-80.749709
Pernería - Ferretería Pekasur,CUSCO,comercio,Sicuani,2.85466213676564,True,243.54710989414903,515470.4153420297,1623.7318083273933,-13.459854,-72.148479
Luchito,AREQUIPA,comercio,,,False,97.67670696590432,506356.7074951467,1595.023628609712,-17.000519,-72.096842
Ferretería Jonathan,PIURA,comercio,Chiclayo,6.111034562104583,False,129.19189000342223,505100.73121061537,1591.067303313438,-4.638685,-79.714834
EMPRESA DE AGROSERVICIOS MALON SAC,SAN MARTIN,canal,Bellavista,0.695199869829053,True,109.8749494490596,504501.81451691553,1589.1807157282835,-7.018723231999957,-76.49929932849997
AGRO SERVICIOS BLANCO S.A.C.,CAJAMARCA,canal,Chiclayo,3.8579451661690194,True,272.2887989181276,498857.0200278304,1571.399613087665,-6.379289812318135,-78.83682229049997
AGRO COMERCIAL UNION E.I.R.L,TUMBES,canal,Chiclayo,7.429176645754136,False,73.35539634985723,496923.6146704113,1565.3093862117953,-3.512163261499936,-80.23228071824995
IMPORTACIONES DISTRIBUCIONES AGRO VETERINARIA PERU SOCIEDAD ANONIMA CERRADA,PUNO,canal,Juliaca,0.391732177357745,True,295.9010374807104,496790.6079791172,1564.8904151342188,-15.468395172166623,-70.20194182133329
La Casa del Constructor,APURIMAC,comercio,Sicuani,9.65591072803736,False,88.71045225682751,495233.05222888064,1559.9841145209737,-13.653872,-73.428591
AGROVETERINARIA MALENIC S.A.C.,LIMA,canal,Pisco,1.3603158680328946,True,101.28689594406409,494657.8363867995,1558.1721846184182,-12.956796703599958,-76.38260593479995
AGROSERVICIOS PERENE EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - AGROSERVICIOS PERENE E.I.R.L.,JUNIN,canal,Satipo,2.1634640714850333,True,168.03686320852532,491310.81222436106,1547.629058506737,-10.92146133808329,-75.05654672149997
K & R AGROVETERINARIA Y DISTRIBUCIONES S.A.C.,PUNO,canal,Juliaca,1.901945142676208,True,291.01262068055826,488583.40608865,1539.037729179247,-16.068210813687458,-69.75708566693746
Siderperu,JUNIN,comercio,Tarma,1.7694882419143738,True,166.98816525157005,488244.6002327081,1537.97049073303,-11.91519,-75.31607
Sodimac,PIURA,comercio,Chiclayo,3.00883433913856,True,123.16582184230668,481540.6498895367,1516.85304715204,-5.182059,-80.622986
D' Mars,LA LIBERTAD,comercio,Huamachuco,3.834136827785757,True,125.24803508720125,480369.8031106832,1513.1648797986518,-8.540779,-78.677406
