ubigeo,dep,prov,dist,cod_se,sector,ha_se,ha_agricola,intensidad,lat,lon
010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,1040302,PUERTO GALILEA,271701.39733890834,4561.034632939666,0.016786938446438804,-3.88125228399997,-77.98220784699998
010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,1040303,YUTUPIS,194022.53136701387,7624.292129568597,0.039295911025645024,-4.25368562999995,-77.79138596099995
010501,AMAZONAS,LUYA,LAMUD,1050101,CUEMAL,2297.7645265299043,2121.4052468200516,0.9232474530468135,-6.125880673999973,-77.98621359299995
010501,AMAZONAS,LUYA,LAMUD,1050102,LAMUD,5024.584108949612,536.6733763942293,0.1068095119431528,-6.117150268999978,-77.92405851399997
010502,AMAZONAS,LUYA,CAMPORREDONDO,1050201,SANTA ROSA DE JAIPE,5814.460427581319,1958.3939017313508,0.33681438305806777,-6.125190146999955,-78.33903366099997
010502,AMAZONAS,LUYA,CAMPORREDONDO,1050202,LA LIBERTAD,3454.563466767545,879.1178921302396,0.2544801682143751,-6.145089044999963,-78.30292633899995
010502,AMAZONAS,LUYA,CAMPORREDONDO,1050203,EL PALTO,3383.172802496168,1530.1751533365975,0.4522899782735324,-6.196097606999956,-78.30104201699999
010502,AMAZONAS,LUYA,CAMPORREDONDO,1050204,EL PROGRESO,1888.5854884066234,597.1955702860655,0.3162131520929519,-6.248896569999943,-78.33352554399994
010502,AMAZONAS,LUYA,CAMPORREDONDO,1050205,CAMPORREDONDO,2161.6866947718913,661.3946196328026,0.30596229381085,-6.230342030999964,-78.34929874199997
010502,AMAZONAS,LUYA,CAMPORREDONDO,1050206,COCOCHO,2814.184971862548,1313.1609772322179,0.466622126961012,-6.206173602999968,-78.36347975399997
010502,AMAZONAS,LUYA,CAMPORREDONDO,1050207,GUADALUPE,2381.838536107049,699.6384806728994,0.2937388366452456,-6.186361384999941,-78.37912565499994
010503,AMAZONAS,LUYA,COCABAMBA,1050301,CHUILON,4017.984968882054,63.55425077008917,0.015817443634631667,-6.59205450099995,-78.09713346599995
010503,AMAZONAS,LUYA,COCABAMBA,1050302,YOMBLON,4359.633908716527,368.173432106411,0.08445053869553028,-6.579970659999958,-78.04774227899998
010503,AMAZONAS,LUYA,COCABAMBA,1050303,COCABAMBA,6861.21774450427,1385.9196335421766,0.20199324451585537,-6.578929852999977,-77.99301214399998
010503,AMAZONAS,LUYA,COCABAMBA,1050304,LA GRANADILLA,9613.831201570969,1098.392642341363,0.11425129267527369,-6.654493886999944,-77.96278565899996
010503,AMAZONAS,LUYA,COCABAMBA,1050305,PACAE GRANDE,4614.813719859167,47.84510748842239,0.01036772238119343,-6.700202824999963,-78.02801650999999
010503,AMAZONAS,LUYA,COCABAMBA,1050306,BUENA VISTA,4835.932800146933,603.9846338473244,0.12489516682882218,-6.643560543999968,-78.04378300399998
010504,AMAZONAS,LUYA,COLCAMAR,1050401,PONAYA,1654.7678544764192,722.5983031471093,0.4366765411790917,-6.290455872999928,-77.95928513999996
010504,AMAZONAS,LUYA,COLCAMAR,1050402,TUETA,2503.1975854657703,770.475996250392,0.3077967159779876,-6.327250024999955,-77.98070632699995
010504,AMAZONAS,LUYA,COLCAMAR,1050403,VILAYA,5301.0795741997035,20.390323626781033,0.003846447377628609,-6.308766825999953,-78.04477026399996
010504,AMAZONAS,LUYA,COLCAMAR,1050404,COLCAMAR,1321.601753529561,662.9609424323528,0.5016344300859192,-6.306957938999972,-77.99467884199998
010505,AMAZONAS,LUYA,CONILA,1050501,SAN ISIDRO DE QUIUCMAL,12831.102270479038,199.16549746312052,0.015522087913003973,-6.095765089999929,-78.22855756699994
010505,AMAZONAS,LUYA,CONILA,1050502,CONILA,2540.5428583367484,12.304798075898827,0.004843373547319165,-6.130218358999969,-78.16819614799994
010505,AMAZONAS,LUYA,CONILA,1050503,COHECHAN,3504.533795276667,133.46715276924664,0.038084139165423574,-6.1487352719999535,-78.12638861899995
010505,AMAZONAS,LUYA,CONILA,1050504,SAN ANTONIO,2848.9481872053548,150.93931206205508,0.05298071503719321,-6.1863309359999334,-78.12243438799999
010505,AMAZONAS,LUYA,CONILA,1050505,NUEVO LUYA,3168.6993064355133,26.325381385002732,0.008307945576134927,-6.169877106999934,-78.19186204099998
010506,AMAZONAS,LUYA,INGUILPATA,1050601,INGUILPATA,1193.970146088269,404.6527677670022,0.338913639585329,-6.2528933199999415,-77.94753016699997
010506,AMAZONAS,LUYA,INGUILPATA,1050602,RETAMA,10674.725493350854,2481.959529123304,0.23250804254116736,-6.247563531999958,-78.03763395299995
