h3,sectores,ha_agricola,ha_cosechada,clientes,sam_usd,horas_capital,horas_puerto,costo_viaje,region_nat,dep,prov,prospectos,empresas,exportadores,fob_export,centro_lat,centro_lon,km2,sam_por_km2,res
858e6193fffffff,2,4343.342025545978,1321.9126477716338,37.6336459614364,146324.47473288054,4.029239812620133,10.030920996092023,148.25224590866526,SIERRA,HUANCAVELICA,TAYACAJA,0,2,0,0.0,-11.991833373828715,-74.57019766827683,293.1506444729247,499.1443051266941,5
858f0927fffffff,2,3395.8881131378303,1076.1698817525394,37.354779482521366,146045.74970095285,0.897104948689216,2.85961463985967,32.6254613970186,COSTA,PIURA,MORROPON,0,1,1,110198.4,-5.433434733946518,-79.80158086987545,300.1552459166444,486.56737367672383,5
858f540ffffffff,5,7456.730010784242,2291.834394215214,78.94957952012693,144642.57115366313,2.4331317422388445,3.7339035114744235,89.4867361905466,SELVA ALTA,CAJAMARCA,JAEN,0,11,0,0.0,-5.828703790255742,-79.25623327352645,299.9852379096991,482.1656297540985,5
858f5d4bfffffff,4,4522.5237107595385,1512.5259532414839,61.73221118571254,144424.8012503102,3.483090093177479,9.74483257488008,119.2449864381074,SIERRA,HUANUCO,HUACAYBAMBA,0,0,0,0.0,-8.998859301508562,-77.07724211071363,298.86105791478144,483.2506525205841,5
858f50d7fffffff,5,3105.579954271823,1043.812509580158,45.20996549295538,143786.69048679963,1.096982137639889,2.269966975055584,34.55378504661411,COSTA,LAMBAYEQUE,FERREÑAFE,0,0,0,0.0,-6.396350223706394,-79.46117281817777,300.8291260573923,477.96798259277585,5
858f5c93fffffff,1,4038.850945093525,1688.658419212891,31.284120352422704,143644.16604969738,7.0630819155534725,10.274330397116133,256.9572285229517,SELVA BAJA,SAN MARTIN,MARISCAL CACERES,0,0,0,0.0,-7.636433185781395,-77.23959576818298,298.53896356330876,481.1571807417892,5
858b6107fffffff,3,1905.2249580328134,1312.415029549066,67.72411343023572,143338.90840965795,1.322388782537003,11.230926604417435,51.05290688464428,SIERRA,CUSCO,CALCA,6,22,0,0.0,-13.26952014048777,-71.9199883377443,285.0610713679389,502.83578786050765,5
858f5843fffffff,2,6717.434383418273,1200.4597656836054,91.0829776676836,143035.97010761054,1.7915666638289844,2.80573946140205,77.067957170117,COSTA,ANCASH,CASMA,0,0,0,0.0,-9.414813302566019,-77.99999687988485,300.5034901349999,475.98771662636017,5
858f58b3fffffff,5,6707.045466202802,1198.6031822896575,90.94211235204105,142814.75635732058,1.2942019895615404,8.008931368146119,45.56783065989019,SIERRA,ANCASH,ANTONIO RAYMONDI,0,0,0,0.0,-9.165708755483218,-77.09321430374294,298.93015348986273,477.75292886993316,5
858e606bfffffff,2,1410.3729624431921,710.7903636475415,29.223901058045495,142721.63771449716,4.866304011559455,5.707128831149987,195.0414626317966,SIERRA,LIMA,YAUYOS,0,2,0,0.0,-12.369267576757036,-76.0721789652615,296.2777119571851,481.7157415307763,5
858e6027fffffff,4,1698.0385455478695,834.1187325058079,48.76122614327299,142569.41699618538,1.7229839226605121,7.616153325919738,60.82871124035207,SIERRA,JUNIN,HUANCAYO,0,3,0,0.0,-12.347393891681055,-75.33442456095608,294.71851435052173,483.74774591399193,5
85b3342bfffffff,1,802.3950746259499,640.9116281779854,27.47668431903593,142439.31677106113,2.4570564229279603,4.587551431226486,82.87570639675062,SIERRA,AREQUIPA,CAYLLOMA,0,0,0,0.0,-16.073242003595002,-71.85535275994903,281.5503864756493,505.91057094279785,5
858f731bfffffff,1,3988.703779591119,2066.900443305341,40.7044447247764,142386.30535621537,0.8670114238710824,7.982247093337871,31.28890097328076,SELVA BAJA,AMAZONAS,BAGUA,1,8,0,0.0,-5.090342495466311,-78.30503700161778,297.78202605146765,478.1561440904623,5
858f5923fffffff,9,2868.6859896823235,1397.1991852511221,51.38077157340313,140773.0853184426,1.989177407154969,6.165839226102919,77.99787145860542,SIERRA,PASCO,DANIEL ALCIDES CARRION,0,11,0,0.0,-10.415038952370372,-76.33081656796288,297.54566260834355,473.11422416444645,5
858f5c7bfffffff,3,6590.834499719842,1177.8353442087428,89.36638562949419,140340.24787993752,1.871729449535972,3.996003649208994,65.81218575965498,SIERRA,ANCASH,CORONGO,0,2,0,0.0,-8.510425998358793,-77.76394222877852,299.8809942541617,467.9864698627526,5
858e632ffffffff,2,824.4014430402458,544.9769771644399,19.05280226233264,140159.03407209364,1.9353902833772987,2.1689289977690063,74.19217288548819,COSTA,ICA,PISCO,4,5,0,0.0,-13.58085139981231,-75.59465508772789,294.3027923166776,476.2409250989328,5
858f4a5bfffffff,2,3420.3508401642116,1590.196334724072,46.947686548055984,139721.87018264606,2.3337886623735042,8.72382455949297,81.84266310406673,SIERRA,HUANUCO,HUANUCO,0,0,0,0.0,-9.511847287676762,-76.100231767723,297.0738727088332,470.32702306873574,5
858e6127fffffff,10,4720.560178532641,1473.8679991664399,39.163803524396315,139706.20031948067,1.7900387171982204,7.333876274781765,63.001152531134565,SIERRA,HUANCAVELICA,ANGARAES,0,8,0,0.0,-13.0095112169164,-74.36739153631376,291.9838420354676,478.47236801038605,5
858e6357fffffff,3,1379.5134875124174,695.2380111903448,28.58447144184104,139598.83621559432,2.3849214723296557,2.7462819142386645,81.87769282601143,COSTA,LIMA,CAÑETE,1,4,0,0.0,-13.034596070899001,-76.13448821678163,295.91493640970026,471.75326095171107,5
85b3369bfffffff,1,783.6844080049177,625.9665167389959,26.835968671093443,139117.84253211055,4.5268038039865806,6.803958552386563,149.37349244632182,SIERRA,AREQUIPA,CONDESUYOS,1,2,0,0.0,-15.677085587105886,-72.98819819654635,285.3806097972317,487.4817620964381,5
