h3,dep,prov,centro_lat,centro_lon,sam_usd,clientes,cluster,horas_al_territorio
868e68b17ffffff,APURIMAC,ANDAHUAYLAS,-14.165961151810937,-73.50692381446942,12022.352481092004,2.1535483566548344,-1,
868e6d16fffffff,APURIMAC,GRAU,-13.789076235107276,-72.6228643695724,11985.685173638636,2.1469801895815976,-1,
868e61267ffffff,HUANCAVELICA,ANGARAES,-12.951963333402109,-74.34143313358975,11976.849493835618,3.08036310676832,-1,
868f71d2fffffff,LORETO,DATEM DEL MARAÑON,-4.184141476813412,-77.28261653900647,11947.830119072005,3.429678169014385,-1,
868f5c4cfffffff,ANCASH,CORONGO,-8.464315389488924,-77.8643597196829,11936.558848600382,7.601006391735665,-1,
868e6c3afffffff,APURIMAC,CHINCHEROS,-13.470376115809318,-73.61424655120905,11936.256761099914,2.138126142358957,-1,
868e6e88fffffff,AYACUCHO,CANGALLO,-13.44039710829259,-74.80359109612615,11924.825917310418,3.83907189900123,-1,
868f4504fffffff,LORETO,UCAYALI,-6.22787185674025,-75.03558853359998,11923.016090786195,3.422555191013444,-1,
868e6d4cfffffff,APURIMAC,AYMARAES,-14.1361936420254,-73.25424284293229,11912.044340490454,2.1337890029599795,-1,
868e6caa7ffffff,AYACUCHO,LA MAR,-13.182969948986582,-73.48564675791987,11901.811523728282,3.8316626577857695,-1,
868f44367ffffff,LORETO,ALTO AMAZONAS,-5.6342960018282655,-75.72410793509326,11901.326023319198,3.41632895996273,-1,
868e6e5afffffff,HUANCAVELICA,HUAYTARA,-13.668582375964377,-75.39197352744947,11888.540144605982,3.0576505510590994,-1,
868e69407ffffff,AYACUCHO,PAUCAR DEL SARA SARA,-15.074125552693484,-73.37572059656719,11887.253730271896,3.826975929764965,-1,
868e6e577ffffff,HUANCAVELICA,HUAYTARA,-13.647864577621029,-75.20058369307894,11853.869225915045,3.0487334298355004,-1,
868e68a07ffffff,APURIMAC,ANDAHUAYLAS,-14.323379212712116,-73.45777645795543,11846.331972082766,2.1220180319109403,-1,
86b335b9fffffff,MOQUEGUA,GENERAL SANCHEZ CERRO,-16.191850992740683,-70.72866389676952,11813.26881058812,3.447290871760592,-1,
868e6dc2fffffff,APURIMAC,ABANCAY,-13.511921075657396,-73.03540352425172,11774.271993769747,2.109110021758964,-1,
868f5c56fffffff,ANCASH,PALLASCA,-8.170888067703642,-77.66788017742303,11752.638958032285,7.483889198957837,-1,
868e6ed9fffffff,HUANCAVELICA,CASTROVIRREYNA,-13.33000009896457,-75.29785741003784,11709.046906469252,3.0114861278562084,-1,
868f6e46fffffff,LORETO,REQUENA,-5.732223286647463,-74.39673636555408,11680.694640662068,3.3529957330121123,-1,
868e6ea17ffffff,AYACUCHO,VICTOR FAJARDO,-13.67878706929969,-74.48926650435102,11674.98013901615,3.758636686513873,-1,
