ruc,razon_social,fob,tn,semanas,lineas,rubro,pct,pct_acum
20468261082,ADISENS SOCIEDAD ANONIMA CERRADA-ADISENS,1332008.703,205.04330000000002,53,164,Proteccion de cultivos,0.024113897307568535,96.83234057793481
20534516674,BLAND FARMS (PERU) S.A.C.,1315368.0,1.76285,5,8,Semillas,0.023812643868034705,96.85615322180286
20100069963,FOSFORERA PERUANA S.A.,1293236.06,1101.6005,25,26,Proteccion de cultivos,0.02341198032343828,96.8795652021263
20507883266,MEDISPEC PERU S.A.C.,1243994.466,173.38078,39,99,Proteccion de cultivos,0.02252053964568395,96.90208574177198
20600173791,AGROMEGA PERU S.A.C.,1242709.55,401.76212200000003,20,174,Fertilizantes,0.022497278286803136,96.92458302005879
20504973990,SOLUCIONES VETERINARIAS S.A.C.,1224357.532,209.568511,44,73,Proteccion de cultivos,0.022165044213225425,96.94674806427201
20426138868,SUMINISTROS AVICOLAS S.A.C.,1212726.3059999999,253.39555,25,40,Proteccion de cultivos,0.02195447938080847,96.96870254365282
20509165611,JP INCUBATOR S.R.L.,1211365.001,218.0194,37,58,Proteccion de cultivos,0.021929835120676876,96.9906323787735
20504004415,GANDULES INC SAC,1204970.558,1.5450050000000002,9,21,Semillas,0.021814073908686435,97.01244645268218
20456239715,HEMAGRI TRADE S.A.C.,1204752.18,1387.6,12,13,Fertilizantes,0.02181012052260542,97.03425657320479
20454993757,TU SEMILLA E.I.R.L.,1184828.138,1.3510929999999999,65,296,Semillas,0.021449427456818684,97.0557060006616
20140466663,AGRO FERRETERA SANTA ANITA EIRL AFERSA,1179705.822,268.156,29,41,Proteccion de cultivos,0.02135669607922128,97.07706269674082
20552892390,IMCD PERÚ S.R.L.,1163319.434,953.956,43,101,Proteccion de cultivos,0.021060046607949794,97.09812274334877
20561217654,AGRO SIME SD S.A.C,1160070.196,329.828277,17,104,Fertilizantes,0.021001224326020716,97.11912396767478
20100860351,DROCERSA S.A - DROCERSA,1157816.294,1288.18,41,60,Fertilizantes,0.020960421018019117,97.1400843886928
20607214655,OAS ORGANIC AGRICULTURE SUPPLIER S.A.C.,1154595.547,324.192825,24,123,Fertilizantes,0.020902114520293735,97.1609865032131
20601581494,PERAGRO SEEDS E.I.R.L.,1129943.895,20.635292,57,168,Semillas,0.020455835600755836,97.18144233881385
20603814526,DB ORGANIC  SCIENCE S.A.C.,1110172.076,291.909973,31,123,Fertilizantes,0.020097898290079096,97.20154023710393
20100123763,CETCO S.A.,1102658.496,38.200421999999996,89,150,Proteccion de cultivos,0.019961876884119708,97.22150211398805
20518005244,INSUMOS AGRICOLAS PERUANOS SOCIEDAD ANON,1083282.452,114.703777,11,72,Proteccion de cultivos,0.019611104449832596,97.24111321843789
