dep,partida4,producto,fob_usd,kg
Tacna,1103,Sémola y pellets de cereal,224.07,104.9
Arequipa,1905,Galletas y panadería,217.5,27.8
Callao,1212,Algarroba y otros frutos,201.36,24.0
Callao,1302,Extractos vegetales (tara y otros),200.0,5.0
Lambayeque,1001,Trigo,198.0,62.8
Lima,1214,Forrajes,197.7,30.0
Amazonas,1805,Cacao en polvo,182.0,6.7
La Libertad,0602,Plantas vivas,180.0,1.9
Lambayeque,3302,Mezclas odoríferas,165.0,52.3
Tacna,1003,Cebada,136.74,1346.0
Junin,1515,Otros aceites vegetales,120.0,5.0
Lima,0404,Lactosuero,120.0,77.1
Tacna,1008,Quinua y cereales andinos,112.0,700.0
Tacna,0405,Mantequilla,69.67,23.5
Tacna,1212,Algarroba y otros frutos,67.2,229.0
Lima,2207,Alcohol etílico,33.84,14.0
La Libertad,2209,Vinagre,24.67,4.8
Tacna,1702,Otros azúcares,23.28,6.0
Callao,0809,"Melocotón, cereza y ciruela",10.51,10.0
Lima,1202,Maní,0.94,0.1
Piura,2007,Mermeladas y purés,0.1,1.9
Piura,2103,Salsas y condimentos,0.08,1.8
